inputs,C result,python result,C run time,python run time
matrix4,F,F,0.35301995277404785,0.6149430274963379
matrix5,F,F,0.01100611686706543,0.2967660427093506
matrix6,F,F,0.006976127624511719,0.30389881134033203
matrix7,F,F,0.006309032440185547,0.298663854598999
matrix8,F,F,0.006633281707763672,0.2968907356262207
matrix9,F,F,0.007427692413330078,0.29705190658569336
matrix10,F,F,0.0075261592864990234,0.3005692958831787
